Site,date,meanbydate,SE,Season,SW,earlyyear,seasonyear,Region,Notes,month,meanoutflow,dtoindex
China Camp,12/2/2009,1254.4,154.2652262,Winter,2009 W,2009,Winter 2009,San Pablo Bay,,12,8972,Dry
Berkeley,12/3/2009,28.8,9.175813618,Winter,2009 W,2009,Winter 2009,Central Bay,,12,8972,Dry
Point Orient,12/3/2009,57.6,36.88878179,Winter,2009 W,2009,Winter 2009,Central Bay,,12,8972,Dry
Brickyard,12/12/2009,35.2,12.57581453,Winter,2009 W,2009,Winter 2009,Richardson Bay,,12,8972,Dry
Loch Lomond,12/12/2009,158.4,38.19575311,Winter,2009 W,2009,Winter 2009,Central Bay,,12,8972,Dry
Point San Quentin,12/12/2009,219.2,38.31472012,Winter,2009 W,2009,Winter 2009,Central Bay,,12,8972,Dry
Dunphy Park,12/12/2009,NA,NA,Winter,2009 W,2009,Winter 2009,Richardson Bay,,12,8972,Dry
Rat Rock Point,12/12/2009,NA,NA,Winter,2009 W,2009,Winter 2009,San Pablo Bay,,12,8972,Dry
Point San Quentin,4/15/2010,198.4,55.99746026,Spring,2010 S,2010,Spring 2010,Central Bay,,4,16870,Moderate
China Camp,4/20/2010,1689.6,274.7593371,Spring,2010 S,2010,Spring 2010,San Pablo Bay,,4,16870,Moderate
Brickyard,4/20/2010,41.6,13.74303864,Spring,2010 S,2010,Spring 2010,Richardson Bay,,4,16870,Moderate
Loch Lomond,4/15/2010,123.2,22.63370152,Spring,2010 S,2010,Spring 2010,Central Bay,,4,16870,Moderate
Dunphy Park,4/20/2010,NA,NA,Spring,2010 S,2010,Spring 2010,Richardson Bay,Not surveyed,4,16870,Moderate
Rat Rock Point,4/20/2010,NA,NA,Spring,2010 S,2010,Spring 2010,San Pablo Bay,Not surveyed,4,16870,Moderate
Berkeley,4/16/2010,32,15.45746853,Spring,2010 S,2010,Spring 2010,Central Bay,Not surveyed,4,16870,Moderate
Point Orient,4/16/2010,3.2,3.2,Spring,2010 S,2010,Spring 2010,Central Bay,Not surveyed,4,16870,Moderate
Point Orient,12/3/2010,166.4,46.81196428,Winter,2010 W,2010,Winter 2010,Central Bay,,12,16870,Moderate
China Camp,12/5/2010,1593.6,339.8149562,Winter,2010 W,2010,Winter 2010,San Pablo Bay,,12,16870,Moderate
Loch Lomond,12/5/2010,366.4,59.36313858,Winter,2010 W,2010,Winter 2010,Central Bay,,12,16870,Moderate
Berkeley,12/6/2010,112,31.82172563,Winter,2010 W,2010,Winter 2010,Central Bay,,12,16870,Moderate
